SampleID,cellLabelInImage,cellSize,C,Na,Si,HH3,Vimentin,SMA,Background,Collagen.1,Lag3,CD4,CD14,Foxp3,PD.1,CD31,PD.L1,E.cadherin,Ki67,CD209,CD206,gdTCR,iNOS,CD68,CD36,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA.DR.DQ.DP,CD11b,CD45,H3K9Ac,Keratin.pan,CD103,MastChyTry,MPO,NaKATPase,HLA.Class.1,Ta,Au,Tissue,PatientID,lineage,cell_type,cell_lin,lintype_num,FlowSOM_ID
Point6,13,165,0.83028778,0.7747111,0.21720290399999997,0.788956365,0.09016412900000001,0.0,0.24178317300000002,0.632008192,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347349288,0.0,0.0,0.0,0.0,0.0,0,0.123952961,0.0,0.550166413,0.667880569,0.0,0.0,0.0,0.0,0.20740006800000002,0.546556555,0.15967541400000002,0.231469006,gran_lung,30,immune,imm_other,other,4,5
Point6,14,137,0.8274535690000001,0.760645146,0.21514231600000003,0.709123918,0.5589925,0.0,0.23377610199999999,0.17812297,0,0.0,0.0678693,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04599397,0.127298239,0.0,0.0,0.0,0.0,0,0.17077892600000003,0.0,0.37246922600000004,0.63088177,0.0,0.0,0.0,0.0,0.39403420899999997,0.6015661760000001,0.12231135300000001,0.20618634800000002,gran_lung,30,immune,imm_other,other,4,5
Point6,15,145,0.80273926,0.771853303,0.208967992,0.746970754,0.670098806,0.0,0.16967262100000002,0.0,0,0.0,0.36115940399999996,0.0,0,0.47908019799999996,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230909475,0.0,0.172954367,0.0,0.0,0.0,0.0,0,0.243128078,0.0,0.42054522899999996,0.599916809,0.0,0.0,0.0,0.0,0.564154597,0.694914525,0.092670579,0.091798453,gran_lung,30,endothelial,endothelial,nonimmune,5,1
Point6,16,60,0.797752853,0.7862930990000001,0.296537323,0.78356262,0.557909573,0.0,0.0,0.0,0,0.19411427,0.340223476,0.0,0,0.15661466400000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172837145,0,0.499349149,0.0,0.399908321,0.7560152920000001,0.0,0.0,0.0,0.0,0.459839134,0.611785994,0.040242924,0.107297465,gran_lung,30,immune,CD14_Mono,myeloid,1,6
Point6,17,379,0.806274762,0.789833745,0.204153337,0.7780739999999999,0.34459026600000003,0.0,0.21307103300000002,0.0,0,0.28567547,0.151106817,0.0,0,0.447723308,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428790300000001,0.126612409,0.14894966199999998,0.0,0.0,0.177270887,0,0.39677724799999997,0.0,0.5307340070000001,0.687146762,0.0,0.0,0.0,0.0,0.46215614,0.6256742510000001,0.044423813,0.055839927000000004,gran_lung,30,endothelial,endothelial,nonimmune,5,1
Point6,18,333,0.928211096,0.871105624,0.29855647399999996,0.93317078,0.46481377,0.0,0.239813983,0.903677905,0,0.47782086,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.141739544,0.0,0.093573734,0.11862140300000001,0.0,0.0,0.0,0.0,0,0.371422861,0.0,0.654713635,0.850164768,0.0,0.0,0.0,0.0,0.110133621,0.497485012,0.063558465,0.181199647,gran_lung,30,immune,CD4_T,lymphocyte,2,4
Point6,19,473,0.920241671,0.867423378,0.273926599,0.925748582,0.708533256,0.0,0.266772629,0.579412933,0,0.238451716,0.295192629,0.0,0,0.149806162,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06766120099999999,0.20024345300000002,0.145265857,0.019621929,0.0,0.0,0.069410946,0,0.484059445,0.0,0.5135022579999999,0.840238855,0.0,0.0,0.0,0.0,0.5205903479999999,0.558182093,0.040816115,0.063937284,gran_lung,30,immune,CD4_T,lymphocyte,2,4
Point6,20,303,0.895831087,0.883066472,0.301998298,0.921684362,0.581253032,0.0,0.30600047,0.08701768300000001,0,0.406460644,0.533250354,0.0,0,0.263095022,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578557443,0.355009841,0.296254546,0.0,0.0,0.25449528899999996,0,0.5237969370000001,0.213933165,0.689682668,0.8648620290000001,0.0,0.0,0.0,0.0,0.40953343,0.675846376,0.08928011,0.039482886,gran_lung,30,immune,CD16_CD14_Mono,myeloid,1,2
Point6,22,77,0.8210092990000001,0.748979913,0.19223707,0.658727874,0.7783591120000001,0.0,0.301740991,0.0,0,0.0,0.373578735,0.0,0,0.370275587,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42721574100000004,0.22649122,0.11435342300000001,0.0,0.0,0.0,0.0,0,0.154691035,0.0,0.6446740129999999,0.38654242200000005,0.0,0.0,0.0,0.0,0.632894133,0.616065125,0.15076189199999998,0.149343067,gran_lung,30,immune,CD8_T,lymphocyte,2,3
Point6,23,159,0.921078018,0.8296629529999999,0.24672055,0.789441368,0.8001292529999999,0.0,0.203875639,0.0,0,0.077317549,0.48036594200000005,0.0,0,0.03143034,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159948166,0.116645624,0.368263674,0.336672285,0.0,0.0,0.06884266900000001,0,0.637767031,0.0,0.468578228,0.619543352,0.0,0.0,0.0,0.0,0.557504377,0.6719853170000001,0.097616165,0.08484215199999999,gran_lung,30,immune,CD14_Mono,myeloid,1,6
Point6,24,159,0.8078140559999999,0.7861638240000001,0.217122762,0.803976461,0.0,0.0,0.24998316,0.0,0,0.372612526,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41933035,0.550811854,0.13612347800000002,0.029144449,0.0,0.075435505,0.0,0,0.453649235,0.0,0.671412803,0.695426014,0.0,0.0,0.0,0.0,0.5310370839999999,0.598410334,0.072936241,0.044913562000000004,gran_lung,30,immune,CD8_T,lymphocyte,2,3
Point6,25,108,0.967875899,0.8373958229999999,0.28672021,0.778430974,0.744132083,0.0,0.077563935,0.24238738199999998,0,0.578889659,0.48722303899999997,0.0,0,0.239956857,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975820166,0.44013051700000005,0.319503904,0.0,0.0,0.189587032,0,0.49136303299999995,0.0,0.8434986240000001,0.655046358,0.0,0.0,0.0,0.0,0.683903347,0.7882202779999999,0.065177191,0.08347914,gran_lung,30,immune,CD4_T,lymphocyte,2,4
Point6,26,495,0.91876592,0.848898805,0.245822409,0.8733566229999999,0.551123224,0.0,0.227100537,0.6863233590000001,0,0.257877545,0.412216863,0.0,0,0.0,0.0,0,0.0,0.0,0.11953560699999999,0.0,0.0,0.020997451,0.0,0.0,0.0,0.28842939,0.21294079800000001,0.015173803000000001,0.0,0.36484533,0,0.5656621789999999,0.059093929,0.464933314,0.6979907590000001,0.0,0.0,0.0,0.0,0.29588280699999997,0.5369396160000001,0.061901251,0.101102637,gran_lung,30,immune,CD16_CD14_Mono,myeloid,1,2
Point6,27,210,0.800340998,0.7776122109999999,0.212782663,0.7367532370000001,0.329216024,0.0,0.07975386200000001,0.24743768,0,0.087555096,0.044622627000000005,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745552645,0.0,0.0,0.0,0.0,0.0,0,0.302362762,0.0,0.6464906189999999,0.7027285329999999,0.0,0.0,0.0,0.0,0.509327026,0.624535126,0.22161566300000002,0.34499239200000004,gran_lung,30,immune,imm_other,other,4,5
Point6,28,84,0.8961634279999999,0.788539853,0.21920885399999998,0.66996139,0.7181601040000001,0.0,0.193684453,0.0,0,0.0,0.544975393,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194339624,0.0,0.0,0.0,0.0,0,0.6805816859999999,0.0,0.508545814,0.46416124799999997,0.0,0.0,0.0,0.0,0.431484104,0.72383832,0.028991761,0.055978451,gran_lung,30,immune,CD14_Mono,myeloid,1,6
Point6,29,104,0.9082364559999999,0.8202686290000001,0.203489137,0.703514083,0.74215521,0.0,0.231218747,0.0,0,0.0,0.434228833,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.342407038,0.0,0.0,0.0,0.043841122,0.256997613,0.0,0.0,0.389473278,0,0.663366286,0.0,0.289480201,0.586697339,0.0,0.0,0.0,0.0,0.327472552,0.7427541809999999,0.04617402,0.134677896,gran_lung,30,immune,CD16_CD14_Mono,myeloid,1,2
Point6,30,342,0.8931883009999999,0.814270397,0.269915364,0.797422163,0.8064098559999999,0.0,0.097653354,0.14732252099999998,0,0.24587187600000002,0.517820514,0.0,0,0.058081694,0.096245546,0,0.0,0.0,0.09462216300000001,0.0,0.0,0.0,0.0,0.35002089799999997,0.391345,0.24546958100000002,0.20378849300000001,0.0,0.0,0.404865992,0,0.538905387,0.034364614,0.61873597,0.65580542,0.0,0.0,0.0,0.0,0.525704962,0.762005365,0.042282444,0.079630377,gran_lung,30,immune,CD8_T,lymphocyte,2,3
Point6,31,274,0.896724465,0.86570375,0.24749307,0.880518987,0.493441773,0.0,0.3331221,0.0,0,0.473667083,0.199089233,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613407086,0.640288251,0.304320488,0.016941528,0.0,0.329771325,0.040219865,0,0.24408206,0.0,0.770066466,0.792920928,0.0,0.0,0.0,0.0,0.596520125,0.658209265,0.08320094900000001,0.059770812,gran_lung,30,immune,CD8_T,lymphocyte,2,3
