cell_size,Background,BetaCatenin,BetaTubulin,CD20,CD3,CD4,CD45,CD8,CD9,ECadherin,ER,GLUT1,HER2,HH3,HLA_Class_1,Ki67,LaminAC,Membrane,NaK ATPase,PanKeratin,SMA,Vimentin,summed_channel,label,area,eccentricity,major_axis_length,minor_axis_length,perimeter,fov
1930.0,4.411531506650055,3.7325515367044804,5.8601593970277905,2.079521251633743,2.2656555903216344,2.854358336775455,3.1553953322864,2.9065188920291045,3.383168892225172,3.7594509340306206,2.6794021482073505,4.398876885880578,3.927835099120998,7.193129554836464,3.110310481402178,3.4278282585327204,0.7945491748406577,8.188430100723423,3.0135720320757646,4.826510943754864,4.350611458681462,3.586012625543229,3.3253230882556992,1,1930,0.5776766904590497,56.92224073553016,46.463670877039895,203.12489168102786,Point8
118.0,4.946523875879668,2.8336807983646746,3.7862438236407026,3.168461379319811,2.6124694999743023,3.094635527892929,3.89534222732975,3.168461379319811,3.5729435892532515,3.619393635649422,2.928392538675573,3.473034595444686,0.0,7.518809923811722,3.168461379319811,3.473034595444686,4.216729687730453,6.944365953990215,3.014948034319892,4.1388048309911865,5.363936574490627,4.970332175021898,3.619393635649422,2,118,0.335732945614192,12.621828780797715,11.889222648637292,38.384776310850235,Point8
1508.0,4.370178494606928,4.262243131280899,6.1302504647474665,2.1822355513471976,2.5806484304226984,2.8807688477163524,3.0571650374354555,2.924308293008872,3.7733194471566547,3.922968608366847,2.8582716362420477,4.401550363494628,4.084854191037255,6.622194744401834,3.0571650374354555,3.1233799714100376,1.7703967681879111,8.596215212524877,3.8438675139772376,5.386509505771945,3.9715974983563958,2.9728310047174413,3.457235171001037,3,1508,0.7187660728762798,52.98296471343738,36.83651176297121,154.0243866176395,Point8
1077.0,4.352030046509402,3.9657162634844574,6.318075919783974,2.278182090017751,2.385336489146498,2.873457304349939,3.019251033139461,2.883862641862447,3.482114202079412,3.7807347401117064,2.5847660297835837,4.744563635053418,4.254120713228476,5.958913494071756,3.1304782884444706,3.0975476736671737,1.3777968248128607,8.550827335258653,3.4472951699799013,5.126560387458034,3.7241370764971893,0.6873805044657477,3.3545557836093396,4,1077,0.6044622398720919,42.56004611262185,33.904770976151944,129.39696961967,Point8
1244.0,5.0192169219305995,3.9686450808650577,6.2580284618296425,2.4285290240428044,2.978840389504402,3.26129736007089,3.6066890327205923,3.273531871651863,3.6741322196497253,4.270499689476589,3.079620964150815,4.476808172859778,4.024751884307974,6.62776237492223,3.3828695062363363,3.2674332718998484,3.5249560883473308,8.36935699247214,3.3608211834150508,5.139231597754361,4.337818656180952,3.1779145037747227,3.8286945553008698,5,1244,0.5156842600793275,43.125722557600064,36.94920058830423,134.22539674441617,Point8
2072.0,5.093385104375468,4.052590446437356,5.974434826514481,2.6970394406736995,3.0487936427986106,3.2982035636182205,3.8830618761655367,3.480108264703482,3.8067272824073974,4.101671908453971,3.189199982643049,4.36171084599945,3.87107202329188,7.452422943513245,3.636551571143628,4.03908499745497,3.1150573840880726,8.191019174581397,3.127801082770566,5.309858238473049,5.032950435097461,4.149980339140535,3.9795619701214964,6,2072,0.4353933492544228,54.72101789877029,49.26206659314021,185.39696961967,Point8
94.0,5.703793585582131,3.800045553087544,4.392761686752353,3.059809393474264,3.3212764869818945,3.154738497764708,3.800045553087544,3.464053120472918,3.8909341192298865,5.031731312453403,3.933459701141887,4.122580974332541,0.0,7.271216143715836,4.251732930700477,3.464053120472918,4.3661018165372845,5.785469942078399,1.8773219937325885,3.974251661913519,5.696676277104972,5.6225701054832635,4.087508735648607,7,94,0.8450967521736129,15.30401143352444,8.181729471696727,37.31370849898476,Point8
1342.0,5.168006857148109,4.375080921415874,5.85772839660672,2.8095656380116796,2.93550695235471,3.4253365215436187,3.594324667877362,3.3908408831758985,3.895906891752237,4.210303534000793,3.3287947295630174,4.350396328264833,3.756429431762769,7.491310761591973,3.4586841385877283,3.7633663769498242,3.766816906438563,8.25476341863706,3.4864102244944957,5.408307276669666,5.0643501689312265,4.153431909602567,3.8806522227215994,8,1342,0.7547197999022337,51.86658506550752,34.026931661405214,145.05382386916236,Point8
507.0,5.068782490713453,3.6451996298470744,5.563574910463309,2.9014709856478498,2.8110992185603454,3.36146952562965,3.5704084519265216,3.114829696854669,3.465233539907797,3.7976970698555235,3.0234182164302146,4.388080738217624,3.714790873916626,6.898243741320124,3.4528355863344395,3.375042921172352,2.9014709856478498,8.372270077257724,3.779857723530643,3.8577440729302914,5.179085678655158,3.9828085063975527,3.6655812395137826,9,507,0.4590546317555984,27.076376422134388,24.054870500284093,83.59797974644667,Point8
1963.0,4.755822510105063,3.780393981423297,5.569707513732221,2.397226955676441,2.744112444671836,2.933857272270137,3.274349238370476,3.116217468508651,3.836850593295414,4.086271494172989,3.0794969558913383,4.063772717660494,3.9410241319311194,7.313526439170318,3.2148705679312917,3.6777328059802294,2.9499403209833304,8.37294750053926,3.5160642670269935,4.701812418055084,4.6897156385709104,4.407079074744398,3.6383582832564545,10,1963,0.43192574896250646,53.317115160379245,48.08719497625275,167.63961030678928,Point8
