CD4,CD8,CD45,SMA,Vimentin,CD31,Keratin-pan,E-cadherin,MastChyTry,MPO,CD20,CD3,CD14,HLA-DR-DQ-DP,Foxp3,CD16,CD11c,CD206,CD11b,CD68,CD163,CD209,hCluster_cap
-0.495229879559212,-0.284572091934246,-0.617396615764517,-0.170408179116973,2.26448215504351,-0.193076315982792,-0.242454011049034,-0.239692993967857,-0.223643699572854,-0.232544187514989,-0.309029566326429,-0.334513692769293,-0.314409937977052,-0.445768822537871,-0.224848068132764,-0.341618837761696,-0.241997105787455,-0.170334772877377,-0.284433444771133,-0.170076110827685,-0.250963068416535,-0.240071192575127,1
-0.771148708838913,-0.334778703030879,-1.02739213770809,-0.250580639433168,1.40383717731289,-0.270512927053824,-0.250843660083251,-0.24440605839883,-0.225533012111472,-0.240141073193684,-0.307595529433106,-0.758504301803635,-0.511907963563704,0.979583892151235,-0.229960574566061,-0.400396837717584,-0.187692812731564,0.341250300570634,-0.147920821902509,4.11737603892847,-0.257252354779348,-0.247780592490814,2
0.541141675075453,-0.00381708429260994,1.5444677249715,-0.195735148289508,0.384936587827784,-0.255233839505797,-0.246634705561431,-0.248774719119738,-0.225580819965924,-0.21684414981533,-0.289616316183717,0.105872075777343,1.12310530800908,-0.876321059506503,-0.216436044236228,3.08463278388925,-0.185211619738443,-0.536669386865205,-0.406555892654346,-0.30952104683716,-0.112421922946763,-0.224192092441756,3
-0.0799937683317774,-0.266384456185003,-0.297460852563838,-0.247856638275625,-0.0618563895054717,-0.236678303391002,-0.194191504619714,-0.184782214251151,-0.224238524123696,-0.241483187412089,-0.278312486143119,-0.271872583852532,-0.421918359582203,1.72305597739238,-0.227138318508428,-0.367038966107204,-0.0897362890692314,-0.258076602857636,-0.142569529335251,-0.113261822492502,-0.254222467652082,-0.246228488870343,4
-0.918295551374278,-0.243629675307355,-1.14426856972312,-0.173708524362533,-0.0498477104817181,4.24162182981962,-0.20863231497101,-0.176210760345871,-0.222933841847312,-0.202167360089065,-0.27865578319333,-0.70055794894488,-0.73897556503115,-0.579155277821106,-0.229075131114416,-0.399127236967876,-0.54857398356353,-0.679117507358485,-0.507657868021197,-0.393379024993205,-0.261690621068769,-0.248206268910545,5
-0.748666524432197,-0.229726101532113,-0.943715606030241,-0.185276221549719,-0.228555054458414,-0.219513328058571,-0.193124170247241,-0.0794341662783669,4.24852120999669,-0.18964453961949,-0.250359290077488,-0.537844201421403,-0.730709362755852,-0.782744256079913,-0.226379829419673,-0.418836849987011,-0.504614303775375,-0.628899642380048,-0.522384965306229,-0.385507420419817,-0.260149965838407,-0.242589281100353,6
-0.505119572870718,4.2150375083219,1.14583648325256,-0.230425822438484,-0.466522920655137,-0.231059505195532,-0.241893994143439,-0.240159574531968,-0.222195774521376,-0.239175324226414,-0.168682652318052,3.17897275875305,-0.524108580455615,-0.726601730167275,-0.225318234561616,-0.305036707579565,-0.393649772539443,-0.616559363568626,-0.487017357491157,-0.385640070697441,-0.256960804903484,-0.244993155054018,7
0.681814220184551,-0.167586252219889,1.43996828052502,-0.259928970438871,0.253372315535205,-0.252910736418936,-0.244682030881118,-0.226768207077638,-0.224356751455616,-0.23332156107251,-0.255466810649162,-0.172523144832867,0.510948800713855,1.80597369541003,-0.225486435932074,-0.2295169089887,3.54458306082371,0.547692137142773,0.316871609830186,-0.103429224176619,-0.238749810062838,-0.242522853560868,8
-0.00580790275467214,-0.292082349252852,0.565554825834181,-0.237253629102738,1.53431659550098,-0.256072567979734,-0.236580728726438,-0.218954739040075,-0.222948608090524,-0.229266231108163,-0.312103929882671,-0.499504756044775,1.17744752590411,1.61202874632152,-0.221900066353449,-0.0927540900277794,1.10386362581572,2.88910994363137,0.94683545411041,0.428061916724262,-0.192866861003073,-0.210929963622167,9
-0.544826558674288,-0.272663057932398,-0.315177336006045,-0.247276595336444,-0.964641092320933,-0.255044372078677,-0.245439750644128,-0.240895376764576,-0.224171041980143,-0.237891790044922,-0.310147444694899,-0.626140113796931,1.43234534475883,-0.0185731382830812,-0.228634173920821,-0.309549503240579,-0.036683714723147,-0.190740550839682,-0.209281081509354,-0.29372452032011,-0.241193636791199,-0.244505031814425,10
0.78724915934525,-0.0758883650171782,0.742960649544979,-0.248514291567117,-0.863608860765463,-0.257120988234147,-0.247387607699046,-0.245370089096327,-0.224095964791851,-0.239003889966885,-0.243305342259064,2.0343840069872,-0.426730470526361,-0.693190829449848,-0.216123550291432,-0.338491800322174,-0.313909293012382,-0.552961453325054,-0.465478008215295,-0.369552634317041,-0.257046526868241,-0.243813994141833,11
-0.412000354766325,-0.0649486686748804,0.79791347222126,-0.256845771861364,-0.749556211648925,-0.246460846637286,-0.246393833195595,-0.240265423008454,-0.224374629751394,-0.243233422017593,4.04685837987996,0.164924407040841,-0.698183113919434,-0.164200096676993,-0.228521966407165,-0.38583770726214,-0.446038127998818,-0.678645358899744,-0.496705899112849,-0.383329905374507,-0.212847293193103,-0.239887144192785,12
