CD14,CD209,CD16,HLA-DR-DQ-DP,CD4,MPO,CD3,SMA,CD11c,CD68,CD8,CD138,CD45,CD21,CD20,CD163,CD206,CD31,cluster,hCluster_cap
-0.396124732851066,-0.273652673211337,-0.172432974725527,-0.749225592700051,-0.856539419062781,-0.166033679011197,0.22712486430144,-0.333842628938282,-0.413177079054499,-0.248818274574975,-0.612387830479743,-0.122581800150428,-1.22027939074702,-0.346050326684663,-0.71603679698283,-0.230338679454602,-0.232002432179146,-0.384639239229975,5,1
-0.393066093770199,-0.27159699794328,-0.172343693205344,-0.734125934377501,0.385295234628994,-0.165637781201026,0.741004381389082,-0.329700429847033,-0.403017540747359,-0.247034869598126,-0.569017697813797,-0.121842401058966,-1.10477518014983,-0.346042461055148,-0.71088540345304,-0.228702313571358,-0.231796748035409,-0.365059313467343,16,1
-0.386352470942347,-0.264170641070236,-0.172364105723924,-0.693929110388873,0.833352563772978,-0.164928659804742,-0.342713106772645,-0.324748905337194,-0.39281421797507,-0.21721552505836,-0.569650849220089,-0.122247139285745,-0.996408488129291,-0.343640125567121,-0.675195482465101,-0.225531567174674,-0.231448376361694,-0.280041977713135,7,1
-0.395057585086074,-0.272811073698164,-0.172429934178793,-0.750861195516639,-0.0521633115734174,-0.16611510618315,-0.83408275861571,-0.334154884498689,-0.412538596483163,-0.241962287711666,-0.663488734604579,-0.122930275514584,-1.22667267714669,-0.34567904149753,-0.716345751605268,-0.230296792423825,-0.232087907444221,-0.365554399156332,6,1
-0.386790662826268,-0.271206157633232,-0.17229401823312,-0.200278893818742,1.05325784861808,-0.163583651709441,1.45098362815328,-0.316867601185649,-0.376663352896,-0.239424528948758,-0.370801183231067,-0.115841149327059,-0.803060131973798,-0.344526027534845,-0.688102236100536,-0.226442591940832,-0.228782768308784,-0.371256324152712,17,1
-0.393340555641963,-0.271446632548046,-0.17238000676908,-0.728843125574766,-0.470129360314799,-0.165253409955227,1.1152169156952,-0.329572895905428,-0.404432787379964,-0.247069030744928,-0.354279434017163,-0.12188619972927,-0.869301749816446,-0.344315264923558,-0.696331805423178,-0.229771833852168,-0.231967186980403,-0.368705980118698,8,1
-0.39258332294265,-0.269770749449617,-0.171407775756282,-0.648514161975679,-0.12736895277349,-0.160694673673634,0.281470300890864,-0.326127015740592,-0.385005055649074,-0.241401363074765,-0.517328260587203,-0.116863982839354,-1.01655434239218,-0.333394811897662,-0.193034551583336,-0.228802372851799,-0.231836111601395,-0.367185486729485,48,1
-0.386617986592213,-0.265974664240314,-0.172270850738767,-0.683288075140621,2.08434022652397,-0.163847855436628,2.56635326105568,-0.322356702132943,-0.387200707774032,-0.242875744938112,-0.402823325538759,-0.119736969395396,0.256382617924832,-0.344052578831655,-0.68938313980231,-0.225559847190734,-0.231392170644264,-0.340906372791398,18,2
-0.385429197012853,-0.266699132727868,-0.171904289594079,-0.653725777372664,3,-0.165467231866406,2.53903712282728,-0.32099037180663,-0.368895733113693,-0.24126356017559,-0.357715949871389,-0.119565224302998,1.8335813333146,-0.343182128461659,-0.645124126086934,-0.225605514522763,-0.230614865693789,-0.327704621311214,19,2
-0.388727449089134,-0.26867192923296,-0.172106124270298,-0.690827696237325,0.464728830132559,-0.165591400160999,2.38511025372889,-0.325457124441131,-0.391030608883418,-0.246933932954833,0.0140113800897376,-0.121740772170188,1.06450515222608,-0.343843388453571,-0.672920300239744,-0.228403628678764,-0.231552744616008,-0.342190355114625,9,2
