cell_size,PanKeratin,SUN2,Background,Fe,Vimentin,BetaTubulin,Ta,ECadherin,CD4,Au,AR,GLUT1,CD3,SMA,Ca,HER2,LaminAC,P,CD8,Na,C,CD45,CD9,BetaCatenin,Ki67,CD20,NaK ATPase,HH3,ER,Membrane,Si,HLA_Class_1,label,area,eccentricity,major_axis_length,minor_axis_length,perimeter
1043.0,4.598537494317412,4.342591425663355,4.606228293011473,0.0,3.7957031813171205,5.981836932758435,7.00906238285178,3.8979485006733676,3.0420900257279575,7.685169793563769,3.719686765639382,4.462276181266175,2.6164926515316616,4.611957830649218,6.600908849036341,3.9871598291189017,0.46269886632208673,4.920796648148207,3.0867454826795275,6.670370487422708,7.132930003043196,3.2985859540504032,3.4554038349980893,4.0425012236210955,3.284339481181063,2.3466436727866484,3.6914171927953765,7.416085343123211,2.8292912780487827,8.470601994031215,4.994897293073963,3.1294993973916365,11,1043,0.5519509832722819,40.30563198628836,33.60992162240749,127.26093065034891
1448.0,5.0748675389343765,4.48509424959916,4.798093377044608,0.0,3.7445232278572425,5.820140916127018,6.172004796349705,4.400651878517763,3.0333356596490915,7.148315957413836,3.581834932565828,4.474133763061975,2.71610964624561,4.6784762060991865,6.4399617048643485,4.08908513635694,0.6449551482275727,4.841548595963561,3.1037992579643228,6.866013137011283,7.218039650059901,3.3099801979335917,3.6943204875406894,4.109693085706167,3.387497437528566,2.4467428821493296,3.4105416573743543,7.33507960633553,3.013228331428957,8.429176836915467,5.197428149402026,3.4059750071636743,12,1448,0.4820008081779095,46.25100590684716,40.523779530295144,145.25483399593904
251.0,4.035856601095908,4.816355095642051,5.040764432747506,0.0,5.004018081835555,4.272868488587113,5.5029808129553555,3.7246901173913574,3.070854853146144,5.746684236832329,2.994250819377604,3.6237242713925983,2.7216380774231785,5.571971544602505,7.5130942501746665,0.0,4.035856601095908,4.982397608054826,3.4374599881816694,7.528203529387697,7.415868424935327,3.916395749498422,3.6237242713925983,3.3005846542858803,3.580303801439053,3.1420278183577914,2.6680623049562926,7.21535769074101,3.3575964534838967,6.595063687000466,6.57858891240431,3.580303801439053,13,251,0.45240629221967277,18.931074744307484,16.882958604745056,56.8700576850888
1344.0,5.108863838123952,4.593296403363344,5.0166139467537105,0.0,4.079134524797231,5.807811830988579,5.834714855189079,4.19769637133514,3.208534406468742,6.817330185128811,3.8605464223680337,4.431879009208059,2.9019531977278032,4.877161946304322,6.633476793372557,3.8319537225756415,2.2646419445664487,4.745266460730423,3.294784454831323,6.887462501063271,7.367288007252306,3.629006089552705,3.5424871644001352,3.9951479902406177,3.5846197761364387,2.6743881251070696,2.885524938467547,7.352708569291622,3.1780538303479458,8.090522780775931,5.522666647588354,3.529493866574994,14,1344,0.7233778824158829,51.10891059280932,35.28826711425796,149.29646455628165
1414.0,5.054492100368696,4.496312805497384,5.018662168714167,0.0,4.000312198997368,5.926461556817081,6.395517012453586,3.7484769204123323,3.1933193231754977,6.963994785899686,3.74514173411822,4.33402709923703,3.0436260206761765,4.835424081125079,6.582900404409073,3.6208050375648506,3.3731915022342642,4.7964781060469734,3.16986982017086,6.833800777561118,7.391368524265783,3.601711892751321,3.601711892751321,3.7111641427091664,3.7146142646644296,2.757702140749105,2.6443207714630876,7.281317019748653,3.204841720036226,7.870368132923541,5.485477103885846,3.3081689284635667,31,1414,0.7563457199425814,53.692109974051654,35.12388097150012,154.16042558696057
580.0,4.484492653300149,4.100349736127137,4.9490546899469825,0.0,3.654457901121649,5.492084587516004,7.030583822042929,4.424370561820134,3.280510128009532,7.588760328861771,3.5108928705619613,4.171969087989071,2.980919026618793,4.98742498923413,6.374263762004811,4.1395497479024845,3.267475458461875,4.790430225112011,3.254269145715965,6.867652500857677,7.1748833034188735,3.367295829986474,3.891533139861348,3.8985449068428406,3.6455013409825714,2.439431550939472,3.608851851386667,6.97283332608503,3.080536207835111,8.533541622557607,5.145923249050822,3.5512331911654758,34,580,0.6765475802905444,32.49954265174912,23.932628158358625,100.36143571373725
554.0,3.8336509317319845,4.415020966159627,5.337283466442583,0.0,4.96008761845007,2.8556674286284838,6.402931218084234,3.856796816074051,3.1102771865638426,6.401135357977136,3.3262497272385514,4.289608367022884,3.1102771865638426,6.968678044935018,7.33817754186912,0.0,3.63580825919907,4.894711728207542,3.4480729874993625,7.442622065544604,7.544657053845773,3.616604129080448,3.5970245207708436,3.481908278577053,3.436535804502368,2.935222006874203,2.769282232568341,7.2424213424289805,3.313211791526461,6.697169470190258,6.193451321195937,3.14190378787495,38,554,0.69174080823833,31.279306268989217,22.58822176627469,87.84062043356595
13.0,3.832449411976351,5.441436987437602,5.298342365610589,0.0,5.991470797049389,4.8128755598552,5.677818691648592,3.4275697700675605,2.7375664817906538,6.1345700851600435,3.832449411976351,3.832449411976351,0.0,7.545552643723788,7.328488290299273,0.0,4.930644742835944,5.218303997861084,3.4275697700675605,7.308079436627735,7.569650182162841,3.832449411976351,4.119926328174218,2.7375664817906538,4.8128755598552,2.7375664817906538,0.0,7.85733213818502,2.7375664817906538,0.0,5.8688702116874545,2.7375664817906538,39,13,0.523556754446835,4.318667337728677,3.6794648440311994,10.242640687119284
162.0,4.354021022855514,4.528325764449916,5.298342365610589,0.0,4.430370596440469,5.4837378438707125,8.938499262022077,4.102814478627961,3.3031163150706178,9.343640263983046,3.87471375955089,4.253974177066735,3.2567279149522985,5.03907675637341,8.713815325346944,4.039672349855067,4.32177117244116,4.580273994592328,3.707830528376757,8.811151843521266,6.425331754127513,3.7376486339064856,3.87471375955089,3.6453902640135523,4.28844690227818,2.519803479746417,3.4306449670352777,7.185200516476002,3.5074566847442554,8.405226591120794,7.9014643319063484,3.156972527226536,40,162,0.3455714810339455,15.021694888070744,14.096244759248206,46.72792206135786
110.0,4.725050070581879,4.489783264234183,5.130471467215763,0.0,4.359200678262376,5.3936482068690905,8.73113088805396,3.7339025604649336,3.1645715122398492,9.023791726259843,4.032138832993204,4.032138832993204,2.2191610221325595,4.99233225801633,8.650770068175403,4.448121514137237,3.643044674823341,4.568236586485581,3.489141095802269,8.575805129459612,6.558844349752155,3.999370324199326,4.359200678262376,4.311588971314319,3.7339025604649336,2.5498642233965256,3.817196474617275,7.227200782070721,3.489141095802269,8.806328774930689,7.827675937749513,3.3716052746911997,50,110,0.9168877002204219,18.759712336133124,7.487850413125008,42.04163056034262
