,cell_size,PanKeratin,SUN2,Background,Fe,Vimentin,BetaTubulin,Ta,ECadherin,CD4,Au,AR,GLUT1,CD3,SMA,Ca,HER2,LaminAC,P,CD8,Na,C,CD45,CD9,BetaCatenin,Ki67,CD20,NaK ATPase,HH3,ER,Membrane,Si,HLA_Class_1,label,area,eccentricity,major_axis_length,minor_axis_length,perimeter,point
0,1043.0,4.598537494317412,4.342591425663355,4.606228293011473,0.0,3.795703181317121,5.981836932758435,7.009062382851781,3.897948500673368,3.042090025727957,7.685169793563769,3.719686765639382,4.462276181266175,2.6164926515316616,4.611957830649218,6.60090884903634,3.9871598291189017,0.4626988663220867,4.920796648148207,3.0867454826795275,6.670370487422707,7.132930003043196,3.2985859540504032,3.4554038349980893,4.042501223621096,3.284339481181063,2.3466436727866484,3.691417192795377,7.4160853431232105,2.8292912780487827,8.470601994031215,4.994897293073963,3.1294993973916365,11,1043,0.5519509832722819,40.30563198628836,33.60992162240749,127.26093065034893,Point8_normalized_transformed
1,1448.0,5.0748675389343765,4.48509424959916,4.798093377044609,0.0,3.7445232278572425,5.820140916127018,6.172004796349706,4.400651878517762,3.0333356596490915,7.1483159574138355,3.581834932565828,4.474133763061975,2.7161096462456102,4.6784762060991865,6.4399617048643485,4.08908513635694,0.6449551482275727,4.841548595963562,3.1037992579643228,6.866013137011282,7.218039650059901,3.309980197933592,3.6943204875406894,4.1096930857061675,3.387497437528566,2.4467428821493296,3.4105416573743543,7.335079606335531,3.013228331428957,8.429176836915468,5.197428149402026,3.4059750071636743,12,1448,0.4820008081779095,46.251005906847155,40.52377953029514,145.25483399593904,Point8_normalized_transformed
2,251.0,4.035856601095908,4.81635509564205,5.040764432747506,0.0,5.004018081835555,4.272868488587113,5.502980812955356,3.724690117391357,3.0708548531461437,5.746684236832329,2.9942508193776036,3.6237242713925983,2.7216380774231785,5.571971544602505,7.513094250174666,0.0,4.035856601095908,4.982397608054827,3.437459988181669,7.528203529387697,7.415868424935327,3.916395749498422,3.6237242713925983,3.3005846542858803,3.5803038014390536,3.1420278183577914,2.6680623049562926,7.215357690741009,3.3575964534838967,6.595063687000465,6.578588912404309,3.5803038014390536,13,251,0.4524062922196728,18.931074744307484,16.882958604745053,56.870057685088796,Point8_normalized_transformed
3,1344.0,5.108863838123952,4.593296403363343,5.016613946753711,0.0,4.079134524797231,5.8078118309885784,5.834714855189079,4.19769637133514,3.208534406468742,6.817330185128812,3.8605464223680337,4.431879009208059,2.9019531977278032,4.877161946304322,6.633476793372557,3.8319537225756415,2.2646419445664487,4.745266460730423,3.294784454831323,6.887462501063272,7.367288007252307,3.629006089552705,3.5424871644001352,3.9951479902406177,3.5846197761364387,2.6743881251070696,2.8855249384675465,7.3527085692916225,3.1780538303479458,8.090522780775933,5.522666647588353,3.5294938665749935,14,1344,0.7233778824158829,51.10891059280932,35.28826711425796,149.29646455628162,Point8_normalized_transformed
4,1414.0,5.054492100368696,4.496312805497384,5.018662168714167,0.0,4.000312198997368,5.926461556817081,6.395517012453586,3.748476920412332,3.1933193231754977,6.963994785899687,3.7451417341182203,4.334027099237029,3.0436260206761765,4.83542408112508,6.582900404409072,3.6208050375648506,3.373191502234264,4.796478106046973,3.1698698201708595,6.833800777561118,7.391368524265782,3.601711892751321,3.601711892751321,3.7111641427091664,3.7146142646644296,2.7577021407491054,2.644320771463088,7.281317019748652,3.204841720036226,7.870368132923541,5.485477103885846,3.3081689284635667,31,1414,0.7563457199425814,53.69210997405165,35.12388097150012,154.16042558696057,Point8_normalized_transformed
5,580.0,4.484492653300149,4.100349736127137,4.949054689946983,0.0,3.654457901121649,5.492084587516004,7.030583822042929,4.424370561820134,3.2805101280095315,7.588760328861772,3.5108928705619613,4.171969087989071,2.980919026618793,4.98742498923413,6.374263762004812,4.1395497479024845,3.267475458461875,4.790430225112011,3.254269145715965,6.867652500857678,7.1748833034188735,3.3672958299864737,3.891533139861348,3.8985449068428406,3.6455013409825714,2.4394315509394717,3.608851851386667,6.97283332608503,3.0805362078351117,8.533541622557609,5.145923249050822,3.551233191165476,34,580,0.6765475802905444,32.49954265174912,23.932628158358625,100.36143571373724,Point8_normalized_transformed
6,554.0,3.833650931731985,4.415020966159627,5.3372834664425834,0.0,4.96008761845007,2.855667428628484,6.402931218084233,3.856796816074051,3.1102771865638426,6.401135357977136,3.3262497272385514,4.2896083670228835,3.1102771865638426,6.968678044935018,7.33817754186912,0.0,3.6358082591990697,4.894711728207541,3.4480729874993625,7.4426220655446045,7.544657053845773,3.6166041290804483,3.597024520770844,3.4819082785770528,3.436535804502368,2.935222006874203,2.769282232568341,7.24242134242898,3.313211791526461,6.697169470190258,6.193451321195937,3.1419037878749503,38,554,0.6917408082383298,31.279306268989213,22.58822176627469,87.84062043356596,Point8_normalized_transformed
7,13.0,3.8324494119763513,5.441436987437601,5.298342365610589,0.0,5.991470797049389,4.8128755598552,5.677818691648593,3.4275697700675605,2.7375664817906538,6.134570085160044,3.8324494119763513,3.8324494119763513,0.0,7.545552643723787,7.328488290299273,0.0,4.930644742835943,5.218303997861084,3.4275697700675605,7.308079436627735,7.569650182162841,3.8324494119763513,4.119926328174219,2.7375664817906538,4.8128755598552,2.7375664817906538,0.0,7.857332138185019,2.7375664817906538,0.0,5.868870211687455,2.7375664817906538,39,13,0.523556754446835,4.318667337728677,3.6794648440312,10.242640687119284,Point8_normalized_transformed
8,162.0,4.354021022855513,4.5283257644499155,5.298342365610589,0.0,4.430370596440469,5.4837378438707125,8.938499262022079,4.102814478627962,3.3031163150706178,9.343640263983048,3.8747137595508905,4.253974177066735,3.2567279149522985,5.03907675637341,8.713815325346943,4.039672349855067,4.32177117244116,4.580273994592328,3.707830528376757,8.811151843521266,6.425331754127513,3.7376486339064856,3.8747137595508905,3.645390264013552,4.28844690227818,2.5198034797464173,3.4306449670352777,7.185200516476003,3.5074566847442554,8.405226591120794,7.9014643319063484,3.1569725272265363,40,162,0.3455714810339455,15.021694888070742,14.096244759248204,46.72792206135786,Point8_normalized_transformed
9,110.0,4.725050070581879,4.489783264234183,5.130471467215763,0.0,4.3592006782623764,5.3936482068690905,8.73113088805396,3.7339025604649336,3.164571512239849,9.023791726259844,4.032138832993203,4.032138832993203,2.2191610221325595,4.99233225801633,8.650770068175403,4.448121514137237,3.6430446748233414,4.568236586485581,3.4891410958022684,8.575805129459612,6.558844349752156,3.999370324199326,4.3592006782623764,4.311588971314319,3.7339025604649336,2.5498642233965256,3.817196474617275,7.227200782070722,3.4891410958022684,8.806328774930689,7.827675937749512,3.3716052746912,50,110,0.916887700220422,18.759712336133124,7.487850413125009,42.04163056034262,Point8_normalized_transformed
